Nombre_Empresa,Monto_Credito,Divisa,Operacion,Fecha_Inicio,Fecha_Fin,Plazo
CEMEX,3780406.68,EUR,OP-854255,03-Jan-2023,N/A,N/A
TELMEX,1118036.84,EUR,OP-138517,2020-12-22,N/A,N/A
liverpool,4429821.92,MXN,OP-902671,20/07/2016,N/A,N/A
GRUPO LALA,251015.64,MXN,OP-888915,24-Jan-2024,N/A,N/A
GRUPO BIMBO,616933.34,MXN,OP-391250,2018-05-07,22-Mar-2020,685
grupo carso,231175.48,USD,OP-832704,2023-07-07,N/A,N/A
cemex,1631287.66,USD,OP-859919,"August 08, 2022",N/A,N/A
WALMART DE MÉXICO,1201757.73,MXN,OP-763656,26/11/2019,N/A,N/A
LIVERPOOL,6438095.38,EUR,OP-632033,2020-06-20,"December 26, 2020",189
cemex,2156394.19,USD,OP-259606,"May 18, 2025",N/A,N/A
AMÉRICA MÓVIL,9885415.69,MXN,OP-707727,02-Mar-2016,N/A,N/A
grupo lala,4732553.98,EUR,OP-644862,27/02/2025,N/A,N/A
grupo carso,4646278.35,MXN,OP-181317,18/12/2021,N/A,N/A
ALSEA,4563342.34,EUR,OP-215120,2024-02-29,N/A,N/A
banorte,4113743.38,USD,OP-397175,09/09/2015,"October 07, 2020",1855
GRUPO CARSO,814117.9,MXN,OP-851112,"October 04, 2020",N/A,N/A
alsea,5788055.38,USD,OP-315248,2019-03-23,20/01/2021,669
femsa,1987122.03,EUR,OP-131000,17/04/2020,2021-02-17,306
GRUPO CARSO,1077955.85,MXN,OP-139489,25/10/2015,N/A,N/A
AMÉRICA MÓVIL,2751536.05,EUR,OP-822417,2020-04-16,"December 22, 2022",980
walmart de méxico,1015080.51,USD,OP-835854,25/05/2025,N/A,N/A
grupo carso,5870938.47,MXN,OP-974755,06-Apr-2021,N/A,N/A
BANORTE,5544076.95,EUR,OP-361534,11/03/2025,N/A,N/A
liverpool,8971299.8,EUR,OP-678017,15/06/2023,"July 09, 2023",24
alsea,3103571.49,MXN,OP-674756,01/02/2024,N/A,N/A
ALSEA,7432774.38,MXN,OP-401082,"August 10, 2018",2019-01-20,163
grupo lala,7987687.85,USD,OP-791665,2024-11-22,N/A,N/A
liverpool,6076192.96,MXN,OP-738424,24/10/2018,N/A,N/A
femsa,7835680.27,EUR,OP-213030,21/02/2018,N/A,N/A
alsea,8276865.28,MXN,OP-598913,"May 06, 2018",2023-06-17,1868
ALSEA,7891160.88,USD,OP-556779,"September 24, 2020",N/A,N/A
soriana,7755781.47,MXN,OP-192352,05-Feb-2016,"November 13, 2016",282
SORIANA,3871053.95,USD,OP-481376,21-Aug-2017,N/A,N/A
ALSEA,4532371.27,EUR,OP-415283,01-Nov-2017,N/A,N/A
GRUPO CARSO,9120677.39,USD,OP-199036,06/05/2019,N/A,N/A
grupo carso,3254110.03,EUR,OP-117719,2022-03-14,N/A,N/A
soriana,7254222.66,USD,OP-679453,"March 14, 2017",N/A,N/A
banorte,6263387.53,EUR,OP-447633,2021-03-03,N/A,N/A
femsa,6320805.14,USD,OP-378051,30/03/2025,N/A,N/A
BBVA MÉXICO,1003120.18,USD,OP-565918,28-Nov-2021,N/A,N/A
walmart de méxico,5059571.8,EUR,OP-176723,09-Jun-2021,N/A,N/A
WALMART DE MÉXICO,554524.74,USD,OP-328721,10/11/2023,N/A,N/A
LIVERPOOL,2637244.5,MXN,OP-976130,2016-12-15,16/07/2018,578
GRUPO LALA,4311276.77,EUR,OP-168744,28/05/2021,2025-01-20,1333
femsa,9035671.32,MXN,OP-944777,20-Jun-2021,N/A,N/A
cemex,1608222.98,USD,OP-922744,"December 21, 2016",2024-08-09,2788
grupo carso,1300789.1,MXN,OP-951655,13-Jan-2025,N/A,N/A
AMÉRICA MÓVIL,2396325.04,MXN,OP-944097,15-May-2022,N/A,N/A
banorte,2180694.39,USD,OP-675382,09/03/2024,N/A,N/A
bbva méxico,6691985.98,EUR,OP-176275,2019-11-22,N/A,N/A
ALSEA,3512460.92,USD,OP-691934,16/05/2024,N/A,N/A
soriana,8056354.42,MXN,OP-968689,2015-09-05,N/A,N/A
cemex,9676017.02,EUR,OP-542596,22-Jul-2019,N/A,N/A
GRUPO BIMBO,993406.71,USD,OP-206888,"December 16, 2022",N/A,N/A
GRUPO MÉXICO,1292915.37,EUR,OP-137335,"July 07, 2019",N/A,N/A
américa móvil,3801271.55,EUR,OP-340650,2024-03-07,N/A,N/A
grupo carso,2312327.73,USD,OP-280347,04/04/2022,N/A,N/A
bbva méxico,9062601.35,USD,OP-799744,"April 24, 2022",08-Jul-2024,806
banorte,9913695.17,MXN,OP-278389,2021-07-08,N/A,N/A
CEMEX,1277801.89,MXN,OP-626995,"August 18, 2016",2021-05-27,1743
GRUPO CARSO,850233.65,MXN,OP-893576,14-Sep-2017,14/07/2025,2860
grupo méxico,247551.91,EUR,OP-150322,18-May-2018,N/A,N/A
américa móvil,8467621.99,MXN,OP-944960,29/06/2025,N/A,N/A
alsea,7374551.85,MXN,OP-845362,10/01/2020,N/A,N/A
grupo carso,5139291.2,EUR,OP-404431,"February 29, 2020","April 06, 2024",1498
PEMEX,867751.4,EUR,OP-478665,2019-01-26,N/A,N/A
cemex,2728132.01,EUR,OP-235631,22-Jun-2016,2020-03-22,1369
femsa,332600.99,USD,OP-959489,21-Aug-2017,12-Nov-2023,2274
FEMSA,2922958.5,EUR,OP-488733,22-Sep-2022,N/A,N/A
GRUPO CARSO,704337.34,MXN,OP-627563,2018-04-29,N/A,N/A
WALMART DE MÉXICO,418381.65,EUR,OP-134388,2020-01-26,N/A,N/A
grupo bimbo,5246900.78,MXN,OP-922461,"February 02, 2019",N/A,N/A
soriana,6315835.3,MXN,OP-150596,2025-06-08,N/A,N/A
CEMEX,3550381.84,USD,OP-385374,"September 06, 2020",09/07/2024,1462
BBVA MÉXICO,2574292.82,MXN,OP-211520,03-Jan-2020,18-Jun-2025,1993
ALSEA,9621389.87,EUR,OP-805253,18-Dec-2015,03/07/2025,3367
PEMEX,8580411.76,USD,OP-168194,"February 23, 2018",N/A,N/A
PEMEX,4866314.72,EUR,OP-884691,"July 26, 2017",2021-12-07,1595
liverpool,6522086.99,USD,OP-796764,02/09/2018,2020-07-09,881
walmart de méxico,9858989.51,EUR,OP-584076,2021-04-21,"March 14, 2025",1423
grupo bimbo,7468634.22,USD,OP-106520,07-Mar-2024,N/A,N/A
AMÉRICA MÓVIL,6367387.42,MXN,OP-617083,"July 05, 2016",13-Jun-2021,1804
GRUPO LALA,6213649.75,USD,OP-538090,"December 11, 2016",N/A,N/A
GRUPO BIMBO,2412128.03,USD,OP-551732,02-Oct-2022,N/A,N/A
BBVA MÉXICO,1595503.04,USD,OP-108915,"February 07, 2025",N/A,N/A
alsea,4283569.97,EUR,OP-492080,23/10/2022,N/A,N/A
FEMSA,6296232.34,USD,OP-672127,"August 22, 2022",N/A,N/A
PEMEX,2268614.43,MXN,OP-187617,17/06/2016,"December 22, 2024",3110
grupo lala,2540032.6,EUR,OP-422723,20/07/2022,N/A,N/A
cemex,9658343.26,EUR,OP-432020,07-Feb-2021,N/A,N/A
GRUPO LALA,7940588.74,USD,OP-114877,2018-02-11,N/A,N/A
bbva méxico,7728047.07,USD,OP-900039,"June 28, 2016",N/A,N/A
GRUPO CARSO,4967166.65,USD,OP-389533,09-Feb-2024,N/A,N/A
pemex,6655360.58,EUR,OP-845479,20/10/2018,N/A,N/A
grupo méxico,2225384.16,USD,OP-417839,18/12/2021,N/A,N/A
soriana,453819.21,MXN,OP-567316,22-Feb-2017,N/A,N/A
BBVA MÉXICO,2990382.17,USD,OP-112532,"September 04, 2023",N/A,N/A
LIVERPOOL,250218.46,EUR,OP-882496,22-Feb-2022,"February 22, 2023",365
WALMART DE MÉXICO,9623089.82,USD,OP-264301,23-Dec-2022,N/A,N/A
walmart de méxico,9166385.55,USD,OP-241798,20-Sep-2020,N/A,N/A
pemex,6838536.08,MXN,OP-409907,18-Feb-2023,N/A,N/A
BBVA MÉXICO,3854774.93,EUR,OP-321546,"September 06, 2018","April 09, 2020",581
bbva méxico,4733947.15,MXN,OP-772613,31/01/2024,2025-06-24,510
liverpool,8825791.84,MXN,OP-404207,24-Jun-2018,N/A,N/A
soriana,6124451.24,USD,OP-905198,"May 03, 2018",27-Dec-2019,603
telmex,3172708.72,USD,OP-314769,21/11/2019,N/A,N/A
walmart de méxico,8887449.11,USD,OP-767266,04-Aug-2016,31/01/2018,545
banorte,5538640.49,USD,OP-813341,02-Jul-2024,N/A,N/A
AMÉRICA MÓVIL,4085914.34,EUR,OP-253551,"March 26, 2024",N/A,N/A
alsea,6025490.99,EUR,OP-690941,"August 12, 2025",N/A,N/A
TELMEX,239432.5,EUR,OP-199359,2023-09-26,N/A,N/A
walmart de méxico,8475177.28,USD,OP-648064,"June 22, 2020",N/A,N/A
PEMEX,6655523.03,MXN,OP-800182,"March 29, 2016",N/A,N/A
BBVA MÉXICO,995175.5,MXN,OP-512280,2019-01-21,N/A,N/A
SORIANA,6927592.97,USD,OP-576423,2022-12-16,08-Feb-2024,419
soriana,811909.71,MXN,OP-219563,11/09/2019,N/A,N/A
SORIANA,2211748.93,EUR,OP-417652,27-Nov-2023,N/A,N/A
LIVERPOOL,4533241.32,MXN,OP-403454,05-Sep-2022,N/A,N/A
walmart de méxico,1349652.03,MXN,OP-598356,2024-11-13,N/A,N/A
LIVERPOOL,2287989.06,EUR,OP-464554,28-Aug-2021,N/A,N/A
pemex,2923093.53,USD,OP-761631,12-May-2017,N/A,N/A
grupo méxico,8576452.82,MXN,OP-975767,05-Oct-2022,N/A,N/A
alsea,4151844.56,MXN,OP-117575,19/01/2020,N/A,N/A
GRUPO BIMBO,8271769.31,MXN,OP-352061,2017-11-17,27-Feb-2019,467
banorte,6092813.6,EUR,OP-538801,04/08/2016,02/09/2024,2863
AMÉRICA MÓVIL,8412770.44,MXN,OP-847036,18/07/2025,N/A,N/A
grupo méxico,9713170.83,MXN,OP-249548,22-Jun-2024,N/A,N/A
FEMSA,6709201.14,MXN,OP-205831,"October 09, 2017",06-Jul-2025,2827
BANORTE,1982105.45,MXN,OP-877935,2017-08-13,N/A,N/A
grupo carso,9412427.82,MXN,OP-152032,"March 02, 2019",23/02/2025,2185
cemex,4110672.96,MXN,OP-187962,06/11/2018,N/A,N/A
grupo carso,7894842.66,USD,OP-631543,2018-01-28,"August 02, 2018",186
banorte,859283.25,EUR,OP-915614,2021-06-05,"September 05, 2022",457
TELMEX,8231517.4,USD,OP-906178,"July 16, 2018",30/11/2024,2329
américa móvil,9877433.66,EUR,OP-241124,09/11/2016,2019-08-15,1068
banorte,7639662.33,EUR,OP-449239,2025-03-14,N/A,N/A
grupo méxico,3104023.16,MXN,OP-869695,01-Mar-2018,N/A,N/A
FEMSA,1742759.96,EUR,OP-730021,"November 26, 2024",N/A,N/A
grupo carso,2367089.73,USD,OP-716240,06/11/2023,08/11/2024,427
CEMEX,8207712.63,USD,OP-754380,17-Jul-2019,N/A,N/A
grupo carso,9163914.05,USD,OP-828134,09/04/2019,N/A,N/A
PEMEX,1044980.53,EUR,OP-103398,"November 15, 2021",N/A,N/A
AMÉRICA MÓVIL,3094493.58,MXN,OP-747033,10/10/2017,24-Oct-2021,1475
GRUPO MÉXICO,5863430.57,MXN,OP-655745,"August 09, 2016",07-May-2024,2828
SORIANA,2342183.06,MXN,OP-497428,"February 14, 2022",N/A,N/A
alsea,176065.94,EUR,OP-985436,2020-06-12,N/A,N/A
bbva méxico,125674.3,USD,OP-272556,2021-09-16,N/A,N/A
grupo lala,1223655.87,USD,OP-946962,2017-11-25,N/A,N/A
grupo carso,9251803.51,EUR,OP-336425,12-Dec-2015,2024-05-02,3064
GRUPO CARSO,5068671.91,MXN,OP-541255,29/07/2024,N/A,N/A
TELMEX,1880529.77,USD,OP-433499,19-Jan-2021,N/A,N/A
grupo bimbo,1850735.26,MXN,OP-876474,2024-01-18,N/A,N/A
FEMSA,5288526.68,EUR,OP-339841,"December 06, 2023",N/A,N/A
SORIANA,5373932.04,EUR,OP-492019,21-Sep-2023,N/A,N/A
liverpool,4268467.68,USD,OP-834746,06/01/2019,N/A,N/A
AMÉRICA MÓVIL,3353216.71,MXN,OP-176414,"September 08, 2020",N/A,N/A
grupo carso,5897948.37,EUR,OP-314098,30-Jul-2021,N/A,N/A
alsea,7373751.3,EUR,OP-926303,2018-12-22,2019-08-12,233
banorte,3942115.0,MXN,OP-978600,06-Jan-2020,09-Jun-2022,885
grupo carso,722878.64,USD,OP-864775,21/09/2022,N/A,N/A
grupo méxico,5275180.99,MXN,OP-226254,18/02/2025,N/A,N/A
CEMEX,3172819.39,EUR,OP-749503,28-Oct-2019,N/A,N/A
BBVA MÉXICO,6336978.14,USD,OP-329463,22-Jan-2017,N/A,N/A
grupo méxico,8210530.6,USD,OP-822077,15-Jan-2025,N/A,N/A
GRUPO BIMBO,5439511.48,EUR,OP-320135,01/07/2021,N/A,N/A
telmex,5831386.44,USD,OP-834998,29/03/2019,N/A,N/A
grupo lala,5665529.15,MXN,OP-664988,2025-08-17,N/A,N/A
américa móvil,131499.29,MXN,OP-366549,21/09/2017,"June 10, 2023",2088
TELMEX,9291084.58,EUR,OP-776944,23-Apr-2020,"July 04, 2022",802
grupo lala,4691378.84,EUR,OP-313531,12/12/2024,N/A,N/A
SORIANA,5437735.99,USD,OP-858167,"March 19, 2017",N/A,N/A
liverpool,8514182.42,EUR,OP-688393,2022-12-30,N/A,N/A
AMÉRICA MÓVIL,5711479.87,MXN,OP-316326,09-Apr-2020,30-May-2025,1877
WALMART DE MÉXICO,8394499.29,MXN,OP-738264,2021-10-09,02/08/2023,487
banorte,8329650.43,USD,OP-756211,21-Sep-2020,"April 06, 2024",1293
femsa,1979870.92,USD,OP-843376,21-Mar-2018,N/A,N/A
telmex,7717934.31,MXN,OP-316588,04-Jan-2023,N/A,N/A
TELMEX,572780.27,EUR,OP-411018,25/04/2025,N/A,N/A
grupo carso,9658015.96,USD,OP-414677,2020-08-27,16-Jan-2024,1237
GRUPO MÉXICO,3556957.91,MXN,OP-215584,2024-07-21,N/A,N/A
PEMEX,4770234.99,MXN,OP-930151,2022-04-05,22-Jul-2023,473
alsea,5995156.51,EUR,OP-741857,"April 15, 2024",N/A,N/A
grupo lala,7985161.81,MXN,OP-552561,"July 23, 2017",N/A,N/A
grupo carso,6746425.75,MXN,OP-935344,2025-05-05,N/A,N/A
pemex,5695914.15,EUR,OP-427518,2016-06-12,N/A,N/A
bbva méxico,8826381.95,EUR,OP-590980,28/08/2024,N/A,N/A
AMÉRICA MÓVIL,2985399.78,EUR,OP-396771,18/08/2019,N/A,N/A
pemex,3379001.4,EUR,OP-703531,26/05/2021,"October 05, 2023",862
WALMART DE MÉXICO,1700507.24,MXN,OP-742510,29/01/2022,N/A,N/A
grupo carso,6134856.99,MXN,OP-399333,23-Mar-2018,21-Apr-2019,394
CEMEX,476569.58,EUR,OP-259191,2019-03-05,N/A,N/A
BBVA MÉXICO,3047758.52,USD,OP-305510,"July 24, 2017","September 14, 2022",1878
alsea,8971194.39,MXN,OP-557918,2019-01-23,"August 26, 2024",2042
LIVERPOOL,6333863.91,USD,OP-427553,03/04/2024,N/A,N/A
grupo lala,939826.39,USD,OP-321325,13-Nov-2022,N/A,N/A
telmex,7734291.29,USD,OP-898851,18/10/2016,"October 20, 2024",2924
TELMEX,9469291.51,EUR,OP-556015,07-Aug-2023,N/A,N/A
grupo bimbo,6260963.65,EUR,OP-951231,"May 06, 2020",N/A,N/A
WALMART DE MÉXICO,8667101.61,MXN,OP-761967,2019-12-08,N/A,N/A
GRUPO BIMBO,2456685.3,MXN,OP-917537,11-Aug-2022,N/A,N/A
soriana,9041904.91,EUR,OP-931620,28-Mar-2018,05-Jun-2021,1165
SORIANA,5180880.84,EUR,OP-457962,2022-10-31,N/A,N/A
alsea,9643344.33,EUR,OP-405582,2019-05-08,N/A,N/A
BANORTE,1387743.08,EUR,OP-569673,01-Jun-2016,01/03/2017,216
ALSEA,4679192.68,EUR,OP-967406,2018-06-26,"July 13, 2024",2209
grupo méxico,8048206.02,MXN,OP-477097,"May 30, 2020",N/A,N/A
liverpool,9918005.73,EUR,OP-469053,"February 19, 2020",N/A,N/A
GRUPO MÉXICO,9284980.06,USD,OP-676191,26-Aug-2019,05/08/2023,1351
femsa,3796636.47,EUR,OP-746604,2015-11-27,2023-01-16,2607
PEMEX,4371926.5,MXN,OP-205321,05-Nov-2020,N/A,N/A
TELMEX,9991497.77,USD,OP-238051,"April 04, 2016",N/A,N/A
grupo lala,8943828.41,MXN,OP-689331,2018-02-19,2020-09-20,944
bbva méxico,1639910.9,EUR,OP-678092,2023-12-31,2024-05-16,137
femsa,6174497.57,USD,OP-729506,2021-01-09,"February 20, 2025",1503
ALSEA,7214226.7,EUR,OP-179752,13-Jan-2022,14/10/2023,639
femsa,8489437.56,EUR,OP-359626,2022-11-26,2024-03-31,491
bbva méxico,684515.59,USD,OP-410877,"January 10, 2017","September 19, 2021",1713
WALMART DE MÉXICO,1567808.42,EUR,OP-338385,01/11/2016,N/A,N/A
BBVA MÉXICO,6702816.24,EUR,OP-634794,2019-11-16,N/A,N/A
CEMEX,291119.4,MXN,OP-754690,15-Aug-2019,N/A,N/A
grupo bimbo,3897719.12,USD,OP-484696,03/03/2022,2022-03-10,7
GRUPO CARSO,5224721.49,USD,OP-872018,"November 02, 2021",13/06/2022,223
BANORTE,5395638.19,MXN,OP-832747,16-Jan-2017,2020-06-07,1238
grupo carso,3904293.27,MXN,OP-412828,"October 25, 2022",N/A,N/A
ALSEA,8986866.94,USD,OP-717011,"March 24, 2021",N/A,N/A
TELMEX,1238754.52,EUR,OP-706649,27/10/2016,"November 24, 2023",2584
américa móvil,4465324.1,USD,OP-982327,20/08/2020,27/12/2024,1590
AMÉRICA MÓVIL,5712507.98,USD,OP-968176,"October 28, 2021",N/A,N/A
LIVERPOOL,8333782.91,MXN,OP-743521,"June 21, 2017",N/A,N/A
telmex,8744722.74,EUR,OP-559422,2022-03-28,N/A,N/A
américa móvil,7282179.43,USD,OP-738995,31/08/2024,N/A,N/A
LIVERPOOL,3112024.28,MXN,OP-735906,"March 01, 2019",N/A,N/A
soriana,5139189.4,EUR,OP-164736,20-Aug-2019,18/04/2024,1703
grupo bimbo,3290568.23,MXN,OP-471544,2018-05-17,N/A,N/A
pemex,9950651.75,MXN,OP-850637,30-May-2023,N/A,N/A
PEMEX,2057453.7,MXN,OP-982803,2024-10-14,N/A,N/A
BBVA MÉXICO,2995036.37,MXN,OP-463720,2023-10-16,N/A,N/A
grupo lala,5032059.72,EUR,OP-756174,01/09/2018,17/08/2021,1316
banorte,4107929.94,MXN,OP-204052,29-Sep-2017,2021-06-04,1344
femsa,4316367.2,USD,OP-682377,"September 19, 2020",13/04/2023,936
telmex,791682.59,USD,OP-320573,"January 30, 2021",N/A,N/A
WALMART DE MÉXICO,1729715.4,USD,OP-326497,2025-05-16,N/A,N/A
PEMEX,1568611.53,USD,OP-398676,24/05/2025,N/A,N/A
américa móvil,2304596.3,MXN,OP-907080,2025-01-04,N/A,N/A
PEMEX,7668190.52,MXN,OP-526767,30-Nov-2022,N/A,N/A
grupo bimbo,6158708.95,EUR,OP-975280,"February 22, 2020",08-May-2023,1171
LIVERPOOL,9560699.0,USD,OP-801450,13-Jan-2016,2025-06-08,3434
bbva méxico,3428753.52,MXN,OP-717900,29/12/2023,N/A,N/A
liverpool,2311167.89,USD,OP-563991,2017-12-20,18-Sep-2020,1003
banorte,5265467.1,USD,OP-365002,2023-05-06,N/A,N/A
cemex,6391609.99,EUR,OP-680194,2022-04-06,03/10/2023,338
AMÉRICA MÓVIL,9899144.45,MXN,OP-865241,05-Jun-2023,N/A,N/A
GRUPO MÉXICO,4428644.48,USD,OP-920450,08-Oct-2024,N/A,N/A
grupo carso,2477445.63,EUR,OP-537836,2021-08-26,2024-08-12,1082
BANORTE,431099.85,USD,OP-581169,2024-07-03,N/A,N/A
GRUPO CARSO,2815850.27,USD,OP-626890,29/09/2019,N/A,N/A
cemex,8438453.24,USD,OP-383295,11-Apr-2018,"November 30, 2020",964
grupo méxico,3967368.64,USD,OP-210294,2024-10-24,N/A,N/A
AMÉRICA MÓVIL,9615997.57,MXN,OP-571409,2020-06-23,N/A,N/A
GRUPO CARSO,3212981.15,EUR,OP-557338,04-May-2023,N/A,N/A
SORIANA,7359613.21,MXN,OP-603960,"May 04, 2022",N/A,N/A
GRUPO CARSO,3890126.72,EUR,OP-273646,"December 26, 2016",16-Oct-2017,294
pemex,1589336.3,EUR,OP-441884,03/11/2021,2024-02-13,1069
femsa,4112150.93,MXN,OP-463520,"December 17, 2018",24/03/2023,1558
liverpool,5554402.85,USD,OP-978457,19-May-2021,"April 21, 2023",702
ALSEA,1536239.02,USD,OP-598564,"July 19, 2019",2021-07-31,743
soriana,4969380.82,MXN,OP-837439,2023-12-07,22/01/2024,46
SORIANA,3362666.74,EUR,OP-684922,19-Jan-2024,N/A,N/A
bbva méxico,2848742.35,USD,OP-280760,"June 25, 2018",17-Jul-2021,1118
telmex,1483296.11,EUR,OP-291715,19/10/2018,"August 25, 2019",310
SORIANA,7113109.91,MXN,OP-125928,10-Mar-2019,N/A,N/A
SORIANA,6034778.49,USD,OP-401248,"December 04, 2020",N/A,N/A
soriana,4951042.35,USD,OP-795002,2015-11-29,N/A,N/A
grupo méxico,4232258.97,MXN,OP-885609,"April 08, 2016",N/A,N/A
soriana,7857154.69,USD,OP-996830,10/07/2024,N/A,N/A
GRUPO CARSO,5609856.37,USD,OP-877051,2025-04-13,N/A,N/A
ALSEA,7784283.74,USD,OP-626774,"September 24, 2024",N/A,N/A
banorte,3662036.24,EUR,OP-313497,2025-01-27,07/01/2025,155
ALSEA,4193094.38,USD,OP-723264,"March 07, 2025",N/A,N/A
liverpool,6691423.2,USD,OP-554965,"October 19, 2022",22-Jun-2025,977
WALMART DE MÉXICO,2464637.03,USD,OP-669068,14-Aug-2022,N/A,N/A
grupo carso,9045581.53,USD,OP-841043,11-Sep-2021,N/A,N/A
bbva méxico,7684279.46,EUR,OP-408973,14/02/2018,2023-06-01,1933
américa móvil,313200.34,EUR,OP-720434,19-Mar-2017,04/08/2021,1481
grupo carso,2961377.33,EUR,OP-421815,2018-10-08,N/A,N/A
américa móvil,4359142.66,MXN,OP-223914,2016-12-05,N/A,N/A
grupo lala,6633818.32,MXN,OP-698523,05/12/2024,N/A,N/A
SORIANA,3760191.17,USD,OP-759159,17-Jul-2024,N/A,N/A
cemex,1022432.24,USD,OP-549343,2019-10-02,13-Feb-2020,134
BANORTE,3980010.17,USD,OP-216016,05-Jul-2024,N/A,N/A
walmart de méxico,244632.43,MXN,OP-762045,2017-05-09,09-Sep-2017,123
