Nombre_Empresa,Monto_Credito,Divisa,Operacion,Fecha_Inicio,Fecha_Fin,Plazo
américa móvil,3076629.85,MXN,OP-100094,2022-05-16,N/A,N/A
GRUPO LALA,6979780.64,EUR,OP-100095,19/02/2021,05-Nov-2022,624
grupo carso,1261159.99,MXN,OP-100096,2018-10-30,N/A,N/A
grupo bimbo,645729.77,MXN,OP-100097,28/05/2017,2019-04-10,682
SORIANA,9736377.73,MXN,OP-100098,03-Apr-2023,N/A,N/A
pemex,260860.8,USD,OP-100099,12-Jun-2021,N/A,N/A
GRUPO CARSO,7608204.01,USD,OP-100100,"November 16, 2016",N/A,N/A
walmart de méxico,7302298.66,USD,OP-100101,2018-10-19,N/A,N/A
grupo méxico,6247066.01,EUR,OP-100102,23/12/2017,N/A,N/A
liverpool,1130960.4,MXN,OP-100103,17/07/2017,21/05/2022,1769
américa móvil,9473863.63,USD,OP-100104,2015-10-20,"December 02, 2024",3331
CEMEX,1237758.74,EUR,OP-100105,"August 07, 2023","December 10, 2023",125
grupo lala,2408572.26,MXN,OP-100106,25/10/2018,N/A,N/A
BANORTE,6128058.22,EUR,OP-100107,"December 19, 2024",N/A,N/A
banorte,5752897.64,MXN,OP-100108,2016-04-04,N/A,N/A
banorte,5471825.68,EUR,OP-100109,"August 18, 2024",N/A,N/A
BBVA MÉXICO,3119070.25,EUR,OP-100110,"February 10, 2025",N/A,N/A
GRUPO MÉXICO,4001265.04,EUR,OP-100111,"January 09, 2025",2025-01-15,6
BANORTE,1200953.22,USD,OP-100112,07/09/2021,N/A,N/A
TELMEX,5860106.99,EUR,OP-100113,2025-04-13,N/A,N/A
telmex,8746496.45,EUR,OP-100114,2024-02-23,N/A,N/A
femsa,5568868.72,USD,OP-100115,2020-05-17,N/A,N/A
ALSEA,1133673.89,MXN,OP-100116,"November 27, 2018",N/A,N/A
GRUPO MÉXICO,1900141.86,USD,OP-100117,20-Aug-2022,N/A,N/A
BBVA MÉXICO,143476.09,MXN,OP-100118,2017-04-08,"December 02, 2023",2429
BANORTE,8803349.93,MXN,OP-100119,26-Nov-2019,N/A,N/A
américa móvil,693654.87,MXN,OP-100120,2023-03-02,N/A,N/A
WALMART DE MÉXICO,2405151.76,MXN,OP-100121,01-Jan-2018,N/A,N/A
GRUPO BIMBO,9741023.52,EUR,OP-100122,2023-12-25,N/A,N/A
grupo carso,6933217.63,MXN,OP-100123,2019-03-03,N/A,N/A
FEMSA,9344854.64,USD,OP-100124,"June 16, 2022",N/A,N/A
GRUPO CARSO,2973515.59,USD,OP-100125,2023-07-29,N/A,N/A
cemex,6579550.65,USD,OP-100126,12-Oct-2019,N/A,N/A
liverpool,848051.4,USD,OP-100127,17-May-2016,11/11/2022,2369
bbva méxico,8310397.98,EUR,OP-100128,04/07/2021,08/08/2024,1219
femsa,983487.22,USD,OP-100129,20-Apr-2020,N/A,N/A
GRUPO BIMBO,6401584.65,MXN,OP-100130,21-Aug-2023,N/A,N/A
grupo bimbo,4798066.94,USD,OP-100131,"September 01, 2017","May 31, 2019",637
TELMEX,4562257.21,MXN,OP-100132,12-Aug-2017,"January 29, 2020",900
TELMEX,3958702.3,MXN,OP-100133,07-Mar-2019,N/A,N/A
grupo méxico,7803899.52,MXN,OP-100134,08-Sep-2016,2024-08-19,2902
SORIANA,8668765.09,EUR,OP-100135,2023-07-28,N/A,N/A
LIVERPOOL,1585383.62,MXN,OP-100136,16-Jun-2018,N/A,N/A
ALSEA,9750384.89,MXN,OP-100137,15/12/2019,N/A,N/A
BBVA MÉXICO,796984.37,EUR,OP-100138,2018-09-23,N/A,N/A
liverpool,9372451.83,MXN,OP-100139,23-May-2017,"April 08, 2022",1781
LIVERPOOL,5169815.22,USD,OP-100140,27-Dec-2021,"April 23, 2023",482
grupo lala,2655864.35,EUR,OP-100141,20/10/2020,N/A,N/A
TELMEX,696539.43,MXN,OP-100142,"October 13, 2023",N/A,N/A
GRUPO CARSO,4976454.74,EUR,OP-100143,"November 17, 2016",N/A,N/A
WALMART DE MÉXICO,2155633.52,MXN,OP-100144,2020-06-29,N/A,N/A
CEMEX,6137353.24,EUR,OP-100145,07/06/2025,N/A,N/A
CEMEX,2292512.91,MXN,OP-100146,"May 15, 2018","February 27, 2024",2114
ALSEA,6904090.98,EUR,OP-100147,17-Dec-2023,N/A,N/A
grupo carso,2512579.34,MXN,OP-100148,15/04/2025,N/A,N/A
telmex,6420953.94,EUR,OP-100149,13/01/2020,N/A,N/A
liverpool,7128016.66,MXN,OP-100150,2022-02-22,N/A,N/A
femsa,8111307.62,EUR,OP-100151,"March 12, 2016",N/A,N/A
TELMEX,4549844.8,MXN,OP-100152,07-Dec-2017,N/A,N/A
pemex,2677624.26,EUR,OP-100153,2019-12-31,N/A,N/A
telmex,9890722.89,EUR,OP-100154,2025-06-09,N/A,N/A
BANORTE,1417791.47,USD,OP-100155,03-Sep-2019,2025-07-23,2150
PEMEX,4536671.27,USD,OP-100156,"August 21, 2019",2024-12-26,1954
grupo bimbo,5138307.53,EUR,OP-100157,2021-12-10,N/A,N/A
grupo lala,6388609.83,MXN,OP-100158,2024-02-06,N/A,N/A
FEMSA,4111277.05,MXN,OP-100159,"January 03, 2020","October 18, 2023",1384
BBVA MÉXICO,6092132.81,EUR,OP-100160,"November 06, 2015",N/A,N/A
bbva méxico,7372411.57,MXN,OP-100161,29/10/2021,N/A,N/A
telmex,167189.03,USD,OP-100162,14/08/2021,N/A,N/A
grupo bimbo,4696340.23,USD,OP-100163,11-Mar-2016,14-Sep-2020,1648
femsa,850858.71,EUR,OP-100164,10-Jun-2017,N/A,N/A
américa móvil,4855723.77,MXN,OP-100165,2022-11-09,N/A,N/A
grupo carso,7852857.93,USD,OP-100166,"May 14, 2018",N/A,N/A
FEMSA,4225235.56,USD,OP-100167,2017-03-17,27-Sep-2020,1290
AMÉRICA MÓVIL,3961918.69,MXN,OP-100168,"March 26, 2018",05-Mar-2023,1805
SORIANA,2388608.33,EUR,OP-100169,03-Aug-2016,N/A,N/A
PEMEX,7370410.3,USD,OP-100170,08/09/2020,N/A,N/A
LIVERPOOL,3839055.98,EUR,OP-100171,05-May-2017,N/A,N/A
grupo méxico,3270991.93,MXN,OP-100172,18/03/2022,N/A,N/A
WALMART DE MÉXICO,7293633.36,MXN,OP-100173,"October 13, 2017",2024-06-27,2449
ALSEA,5024803.15,MXN,OP-100174,18-Jul-2016,N/A,N/A
soriana,1929644.36,EUR,OP-100175,"August 29, 2019",N/A,N/A
liverpool,9296581.08,EUR,OP-100176,08-Jul-2018,29-Dec-2024,2366
grupo carso,3694295.99,USD,OP-100177,13-Apr-2024,N/A,N/A
grupo bimbo,9045102.58,MXN,OP-100178,"July 25, 2018",N/A,N/A
soriana,8589949.51,EUR,OP-100179,2019-07-11,"October 30, 2022",1207
bbva méxico,840466.11,USD,OP-100180,2015-10-28,N/A,N/A
ALSEA,2129318.18,EUR,OP-100181,13-Jun-2017,12-Oct-2019,851
liverpool,7533529.33,EUR,OP-100182,"June 19, 2019",N/A,N/A
GRUPO BIMBO,5215042.24,MXN,OP-100183,06/11/2020,N/A,N/A
pemex,782137.11,MXN,OP-100184,25-Mar-2022,N/A,N/A
alsea,7186463.2,USD,OP-100185,06/05/2019,N/A,N/A
cemex,7620141.86,EUR,OP-100186,"May 27, 2019","March 14, 2023",1387
ALSEA,6298562.51,EUR,OP-100187,"November 24, 2024",N/A,N/A
AMÉRICA MÓVIL,5636465.97,USD,OP-100188,2022-03-10,"April 09, 2022",30
grupo carso,2412499.96,MXN,OP-100189,2020-11-17,2024-02-21,1191
grupo méxico,9730732.35,USD,OP-100190,2021-06-12,2021-12-04,175
grupo méxico,9235693.41,MXN,OP-100191,03-Apr-2021,N/A,N/A
alsea,452754.64,EUR,OP-100192,26-Jul-2019,25/11/2019,122
BBVA MÉXICO,1065476.11,EUR,OP-100193,04/03/2017,N/A,N/A
FEMSA,9765255.76,USD,OP-100194,"February 03, 2021",N/A,N/A
walmart de méxico,7153276.12,EUR,OP-100195,06/03/2018,2022-01-15,1322
bbva méxico,737998.03,MXN,OP-100196,23/12/2021,2022-07-22,211
banorte,1765825.92,EUR,OP-100197,21-Jul-2022,N/A,N/A
GRUPO CARSO,7174357.66,MXN,OP-100198,19-May-2022,"April 16, 2025",1063
GRUPO CARSO,1682953.07,USD,OP-100199,25/04/2019,"February 21, 2020",302
soriana,2714892.37,EUR,OP-100200,28/03/2023,N/A,N/A
SORIANA,6823459.0,USD,OP-100201,22/05/2022,N/A,N/A
telmex,6014211.9,MXN,OP-100202,2016-08-19,02/04/2024,2725
BBVA MÉXICO,3075318.87,MXN,OP-100203,04/10/2021,N/A,N/A
AMÉRICA MÓVIL,5631445.14,USD,OP-100204,10/05/2020,N/A,N/A
WALMART DE MÉXICO,6678682.25,EUR,OP-100205,2017-06-13,N/A,N/A
soriana,4641917.3,MXN,OP-100206,"May 30, 2016",N/A,N/A
GRUPO CARSO,4299607.76,USD,OP-100207,11-Sep-2020,N/A,N/A
GRUPO LALA,6227231.53,USD,OP-100208,25-May-2022,"May 26, 2023",366
PEMEX,5156287.04,EUR,OP-100209,09/06/2024,N/A,N/A
SORIANA,5898863.93,USD,OP-100210,18/04/2016,N/A,N/A
CEMEX,7305432.54,USD,OP-100211,07-Dec-2019,2021-12-24,748
TELMEX,1909794.02,MXN,OP-100212,27/11/2018,29/01/2022,1159
grupo méxico,5840486.67,EUR,OP-100213,14-Apr-2018,N/A,N/A
BANORTE,837118.93,EUR,OP-100214,19/11/2019,N/A,N/A
soriana,701059.34,MXN,OP-100215,05/06/2017,01/08/2025,2804
grupo lala,1542269.22,MXN,OP-100216,2019-03-22,N/A,N/A
ALSEA,5913944.61,EUR,OP-100217,"August 09, 2022",N/A,N/A
WALMART DE MÉXICO,2242546.54,EUR,OP-100218,2016-06-07,2019-01-15,952
AMÉRICA MÓVIL,6517665.54,MXN,OP-100219,2021-08-25,N/A,N/A
grupo méxico,7566871.36,MXN,OP-100220,23/10/2021,08/04/2022,285
grupo méxico,7156155.74,USD,OP-100221,24-Mar-2021,2024-08-21,1246
américa móvil,252192.19,MXN,OP-100222,2024-05-15,N/A,N/A
TELMEX,2722200.76,EUR,OP-100223,"January 17, 2017",N/A,N/A
pemex,873761.4,EUR,OP-100224,"March 30, 2020",N/A,N/A
grupo bimbo,7073368.22,MXN,OP-100225,"May 16, 2018",N/A,N/A
femsa,1027813.11,EUR,OP-100226,2024-10-03,N/A,N/A
GRUPO BIMBO,5610796.03,MXN,OP-100227,13-Feb-2020,N/A,N/A
CEMEX,2638090.47,USD,OP-100228,01/04/2021,N/A,N/A
femsa,4883512.4,USD,OP-100229,05-Feb-2024,04/06/2025,426
AMÉRICA MÓVIL,7259346.05,MXN,OP-100230,2022-12-27,N/A,N/A
TELMEX,9146216.94,MXN,OP-100231,"November 03, 2024",N/A,N/A
grupo carso,6209153.77,USD,OP-100232,22-Nov-2016,2019-07-25,975
américa móvil,8126323.53,MXN,OP-100233,"April 26, 2025",05/02/2025,6
grupo bimbo,711153.01,USD,OP-100234,10/06/2017,N/A,N/A
GRUPO CARSO,8074619.9,MXN,OP-100235,"June 26, 2020",N/A,N/A
PEMEX,3769279.39,MXN,OP-100236,"October 08, 2022",N/A,N/A
BANORTE,3158388.27,MXN,OP-100237,2022-02-17,N/A,N/A
TELMEX,3009172.85,EUR,OP-100238,22-Jul-2025,N/A,N/A
BBVA MÉXICO,9880373.57,MXN,OP-100239,27-Oct-2023,N/A,N/A
AMÉRICA MÓVIL,6857834.71,MXN,OP-100240,2024-11-13,N/A,N/A
femsa,9039363.24,MXN,OP-100241,01/05/2016,N/A,N/A
GRUPO CARSO,3489153.95,USD,OP-100242,26/05/2025,N/A,N/A
FEMSA,1020353.13,EUR,OP-100243,2021-11-02,N/A,N/A
femsa,1908165.53,EUR,OP-100244,28-Jul-2025,N/A,N/A
grupo méxico,9518024.61,EUR,OP-100245,2022-12-01,N/A,N/A
GRUPO CARSO,3057714.58,USD,OP-100246,2024-06-12,N/A,N/A
LIVERPOOL,1859650.0,MXN,OP-100247,2018-06-16,"December 10, 2023",2003
grupo bimbo,4110000.85,MXN,OP-100248,2025-04-23,N/A,N/A
FEMSA,3186744.68,MXN,OP-100249,27-Dec-2021,N/A,N/A
FEMSA,715155.81,EUR,OP-100250,"March 13, 2016",2021-02-09,1794
CEMEX,6127303.76,MXN,OP-100251,2023-05-22,N/A,N/A
liverpool,2711213.82,MXN,OP-100252,2020-11-19,N/A,N/A
alsea,3768781.35,MXN,OP-100253,10/04/2016,N/A,N/A
telmex,8669427.14,USD,OP-100254,"March 06, 2025",N/A,N/A
FEMSA,1154895.06,EUR,OP-100255,31/03/2024,N/A,N/A
grupo lala,4709933.08,EUR,OP-100256,18/12/2024,N/A,N/A
GRUPO LALA,8564133.37,EUR,OP-100257,21/02/2024,N/A,N/A
GRUPO CARSO,7441585.62,USD,OP-100258,"January 29, 2017","December 06, 2017",311
WALMART DE MÉXICO,8396001.94,MXN,OP-100259,11-Sep-2015,24-May-2017,621
BANORTE,1443776.93,USD,OP-100260,10-Feb-2018,23/11/2022,1747
BANORTE,2015856.39,USD,OP-100261,"March 09, 2025",N/A,N/A
banorte,7910396.1,EUR,OP-100262,05/09/2017,N/A,N/A
bbva méxico,9989979.24,EUR,OP-100263,01-Sep-2018,24-Jul-2021,1057
GRUPO MÉXICO,3432510.38,EUR,OP-100264,11-Apr-2024,30/04/2024,19
GRUPO MÉXICO,3729657.58,MXN,OP-100265,"May 30, 2017",25/06/2023,2217
telmex,2727330.18,MXN,OP-100266,03-Dec-2015,"October 04, 2017",671
banorte,866010.82,MXN,OP-100267,23/03/2023,N/A,N/A
femsa,8599256.93,EUR,OP-100268,31/07/2016,21-Mar-2025,3155
BANORTE,9355540.22,EUR,OP-100269,2021-04-12,08/03/2022,478
grupo lala,2447436.23,EUR,OP-100270,02/04/2018,N/A,N/A
grupo lala,1921445.31,USD,OP-100271,"October 18, 2024",N/A,N/A
grupo carso,3102379.87,EUR,OP-100272,2019-02-18,09-Oct-2020,599
LIVERPOOL,1143455.54,MXN,OP-100273,"June 19, 2024",N/A,N/A
femsa,533280.87,USD,OP-100274,19-Apr-2022,N/A,N/A
bbva méxico,822254.54,EUR,OP-100275,18-Jun-2025,N/A,N/A
GRUPO MÉXICO,1899668.09,USD,OP-100276,29/08/2015,17/07/2024,3245
TELMEX,3953604.84,MXN,OP-100277,04/09/2017,N/A,N/A
grupo bimbo,6173193.52,EUR,OP-100278,31-Mar-2017,N/A,N/A
AMÉRICA MÓVIL,5644106.55,USD,OP-100279,2016-10-12,2021-12-21,1896
BBVA MÉXICO,4557160.79,MXN,OP-100280,2016-07-20,28-Apr-2018,647
GRUPO CARSO,4814380.9,USD,OP-100281,04-Apr-2023,N/A,N/A
alsea,5272499.45,MXN,OP-100282,"June 14, 2021",N/A,N/A
liverpool,7381486.28,USD,OP-100283,23/04/2024,N/A,N/A
soriana,6505041.55,MXN,OP-100284,24/11/2020,N/A,N/A
BANORTE,3601393.74,EUR,OP-100285,2015-09-01,11-May-2025,3540
grupo lala,9285744.35,USD,OP-100286,2016-10-31,"July 18, 2022",2086
femsa,1459358.47,EUR,OP-100287,06/02/2020,"February 09, 2022",617
pemex,5645616.73,EUR,OP-100288,03/06/2021,N/A,N/A
walmart de méxico,4913804.55,MXN,OP-100289,"October 04, 2021",N/A,N/A
PEMEX,6052424.86,USD,OP-100290,2025-03-15,N/A,N/A
AMÉRICA MÓVIL,3524230.99,EUR,OP-100291,14-Apr-2016,"June 17, 2021",1890
alsea,7175191.3,MXN,OP-100292,2018-02-12,15-Nov-2023,2102
GRUPO CARSO,9420954.99,USD,OP-100293,18/11/2018,N/A,N/A
BANORTE,1577264.24,EUR,OP-100294,2019-08-04,N/A,N/A
walmart de méxico,9726686.18,EUR,OP-100295,2016-09-14,N/A,N/A
banorte,8712582.09,USD,OP-100296,01/02/2019,2021-06-10,890
grupo lala,1884187.94,MXN,OP-100297,"October 23, 2023",N/A,N/A
TELMEX,5233641.13,MXN,OP-100298,"April 25, 2025",N/A,N/A
GRUPO MÉXICO,8471588.79,EUR,OP-100299,18-Nov-2018,"January 05, 2025",2240
alsea,4018342.76,USD,OP-100300,"May 29, 2022",N/A,N/A
GRUPO CARSO,2624156.66,EUR,OP-100301,26/07/2024,2025-06-21,330
telmex,1393003.39,USD,OP-100302,2022-10-17,2024-05-26,587
GRUPO BIMBO,209844.43,MXN,OP-100303,15-Jun-2022,N/A,N/A
LIVERPOOL,4858488.45,MXN,OP-100304,2021-11-10,N/A,N/A
femsa,2826949.26,MXN,OP-100305,2018-11-30,24-Aug-2025,2459
walmart de méxico,6698240.9,USD,OP-100306,"December 14, 2018",N/A,N/A
américa móvil,3532573.11,EUR,OP-100307,18/07/2025,N/A,N/A
grupo carso,6464068.89,USD,OP-100308,16/01/2019,N/A,N/A
grupo bimbo,3699952.61,MXN,OP-100309,2019-11-07,N/A,N/A
TELMEX,4570836.87,USD,OP-100310,26/11/2016,N/A,N/A
LIVERPOOL,8785227.53,MXN,OP-100311,07-May-2018,2023-09-22,1964
LIVERPOOL,3778607.31,USD,OP-100312,"November 26, 2019",18/06/2020,205
walmart de méxico,9476503.26,USD,OP-100313,02/07/2018,N/A,N/A
CEMEX,5806918.21,EUR,OP-100314,"December 11, 2016",N/A,N/A
walmart de méxico,4301097.93,USD,OP-100315,2018-01-03,19/05/2021,1232
grupo lala,663379.84,EUR,OP-100316,21/02/2019,20/11/2021,1003
pemex,4832365.33,USD,OP-100317,2018-02-20,N/A,N/A
walmart de méxico,2252751.98,EUR,OP-100318,12/06/2018,2020-11-30,725
TELMEX,5474571.22,EUR,OP-100319,"December 22, 2021",N/A,N/A
pemex,3721273.16,EUR,OP-100320,2019-11-12,N/A,N/A
cemex,2587146.29,MXN,OP-100321,27/03/2023,N/A,N/A
soriana,4884071.42,EUR,OP-100322,08-Dec-2019,N/A,N/A
cemex,4578920.58,EUR,OP-100323,2017-04-06,12-May-2018,401
grupo carso,2818089.08,USD,OP-100324,2025-04-15,N/A,N/A
américa móvil,6546192.47,USD,OP-100325,"January 02, 2022",N/A,N/A
BANORTE,4873978.08,MXN,OP-100326,"December 25, 2015",22-Nov-2019,1428
ALSEA,9588518.49,MXN,OP-100327,12/09/2016,"March 06, 2024",2644
banorte,3651338.69,EUR,OP-100328,04-Jan-2022,N/A,N/A
femsa,9192721.15,EUR,OP-100329,24/06/2021,N/A,N/A
grupo lala,2398490.69,EUR,OP-100330,27/07/2016,"December 17, 2017",508
ALSEA,946431.0,MXN,OP-100331,04-Mar-2022,N/A,N/A
PEMEX,4988728.59,USD,OP-100332,24/05/2018,2021-03-25,1036
grupo carso,2314514.04,USD,OP-100333,02-Dec-2022,"February 05, 2023",65
grupo bimbo,4939092.91,EUR,OP-100334,09/09/2015,24/09/2017,746
liverpool,9352492.24,USD,OP-100335,11/04/2024,N/A,N/A
grupo carso,7560926.46,EUR,OP-100336,"October 28, 2022",N/A,N/A
TELMEX,3548677.06,EUR,OP-100337,2018-12-30,N/A,N/A
GRUPO LALA,7054001.13,USD,OP-100338,11/10/2020,2023-03-17,857
GRUPO LALA,8767774.63,EUR,OP-100339,23/11/2024,N/A,N/A
liverpool,6389406.59,USD,OP-100340,24-Oct-2015,2022-11-10,2574
AMÉRICA MÓVIL,8018290.93,EUR,OP-100341,2017-02-15,03/10/2018,388
grupo carso,9545459.93,USD,OP-100342,02/11/2021,N/A,N/A
grupo bimbo,7008888.08,EUR,OP-100343,01/07/2018,28/10/2018,294
AMÉRICA MÓVIL,1058047.77,MXN,OP-100344,"June 23, 2024",N/A,N/A
BBVA MÉXICO,2855317.21,EUR,OP-100345,"August 12, 2018",N/A,N/A
liverpool,6028071.67,USD,OP-100346,05-Sep-2018,28/01/2025,2337
walmart de méxico,6395208.91,EUR,OP-100347,"March 03, 2024",23-Aug-2025,538
FEMSA,2452161.94,MXN,OP-100348,22/10/2022,N/A,N/A
TELMEX,7317817.98,EUR,OP-100349,18/11/2018,N/A,N/A
grupo bimbo,215835.65,USD,OP-100350,21/01/2021,N/A,N/A
WALMART DE MÉXICO,4663597.65,EUR,OP-100351,11-Sep-2020,N/A,N/A
